Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;,,,,,,,
russia_reclaim_ingria_karelia_title;Reclaim Ingria and Karelia;;;;;;;;;;;;;x,,,,,,,
russia_reclaim_ingria_karelia_desc;The regions of Ingria and Karelia were once part of the Russian realm before Swedish conquest. We can use rising nationalist sentiment to support a war to retake these lands.;;;;;;;;;;;;;x,,,,,,,
GC_NAME;Fall of Vienna;x,,,,,,,
GC_DESC;The dust has settled on the fields of Germany, where the German Republic was finally defeated by the Alte Koalition of Europe. The Congress of Munich established a consensus that restored a tentative calm to a troubled continent. While the flames of revolution may have been put out for now, the ideas of human liberty, nationalism, and liberalism will soon prove themselves more alive than ever. In the Americas, young powers rise to determine the destiny of the Western Hemisphere. In Asia, countries are reinventing themselves in the face of Christian domination. Most people in southeastern Europe remain under the rule of the Ottomans, who once caused the fall of Vienna…;x
EVTNAME44130;$FROMCOUNTRY$ Demands Northern Territories!;;;;;;;;;;;;x,,,,,,,
EVTDESC44130;The American ambassador has informed us that it would be in our best interests to sell our northern lands to the United States. The amount they offer is considerable, but it is almost an insult that they would think us so eager to give up our rightful territory.;;;;;;;;;;;;x,,,,,,
EVT44130OPTA;No. That land is rightfully ours.;;;;;;;;;;;;x,,,,,,,
EVT44130OPTB;We cannot afford for this to escalate.;;;;;;;;;;;;x,,,,,,,
EVTNAME44131;Louisiana Has Refused!;;;;;;;;;;;;x,,,,,,,
EVTDESC44131;The Louisianans have refused our generous offer. Our only recourse is force of arms.;;;;;;;;;;;;x,,,,,,,
EVT44131OPTA;Our military could use the target practice.;;;;;;;;;;;;x,,,,,,,
EVT44131OPTB;We don't need this to come to a war yet.;;;;;;;;;;;;x,,,,,,,
EVTNAME44132;$FROMCOUNTRY$ Has Agreed;;;;;;;;;;;;x,,,,,,,
EVTDESC44132;$FROMCOUNTRY$ has agreed to sell the land we want to us. For now, the relations between our two countries can return to normal.;;;;;;;;;;;;x,,,,,,
USA_northern_louisiana_title;Our Manifest Destiny in Louisiana;;;;;;;;;;;;;x,,,,,,,
USA_northern_louisiana_desc;It is our destiny to bring American rule and prosperity to all of North America, and our responsibility to take these lands from unfit governments so they may flourish. To avoid further war with Louisiana, we should approach their government and see if they will consider ceding their northern lands to us.;;;;;;;;;;;;x,,,,,
EVTNAME44134;The Treaty of New Orleans;;;;;;;;;;;;x,,,,,,,
EVTDESC44134;With our capital under American control, it seems we have little choice but to negotiate. The Americans have offered us a deal: the normalization of relations, the forgiveness of our debt and the payment of a great deal of money... all in exchange for a cession of all the northern territories currently claimed by their country. If we refuse, it may mean many years more of war for us until these Yankees get what they want.;;;;;;;;;;;;x,,,,
EVT44134OPTA;We agree to their proposal.;;;;;;;;;;;;;x,,,,,,,
EVT44134OPTB;We refuse!;;;;;;;;;;;;;x,,,,,,,
EVTNAME44135;$FROMCOUNTRY$ Has Agreed;;;;;;;;;;;;x,,,,,,,
EVTDESC44135;$FROMCOUNTRY$ has signed the Treaty of New Orleans, ceding all American-claimed territory to our control. For now, the relations between our two countries can return to normal.;;;;;;;;;;;;x,,,,,
EVT44135OPTA;A wise move.;;;;;;;;;;;;x,,,,,,,
EVTNAME44136;$FROMCOUNTRY$ Has Refused;;;;;;;;;;;;x,,,,,,,
EVTDESC44136;Despite having them over the figurative barrel, the $FROMCOUNTRY_ADJ$ government has refused to capitulate to our demands. So much the worse for them.;;;;;;;;;;;;x,,,,,,
EVT44136OPTA;A foolish move.;;;;;;;;;;;;x,,,,,,,
treaty_of_new_orleans_title;Treaty of New Orleans;;;;;;;;;;;;x,,,,,,,
treaty_of_new_orleans_desc;Should we get a convincing enough victory over the Louisianans, we will be able to force them to the negotiating table in order to discuss their surrendering of all claims to land that we claim -- in exchange for a fair price, of course.\n\n§RNOTE: The treaty will cost 100,000¤.§W;;;;;;;;;;;;x,,,,
call_for_south_american_union_title;Call for South American Union;;;;;;;;;;;;x,,,,,,,
call_for_south_american_union_desc;There has been a growing call in our country to unite South America in one republic. We are in a position to justify claiming much of the region to advance this cause.;;;;;;;;;;;;x,,,,,,,
form_south_american_union_title;Form South American Union;;;;;;;;;;;;x,,,,,,,
form_south_american_union_desc;By controlling, directly or indirectly, the many divisions of South America, we can unite our peoples into one state. Long live South America!;;;;;;;;;;;;x,,,,
restore_la_plata_viceroyalty_title;Restore the Viceroyalty of the Río de la Plata;;;;;;;;;;;;x,,,,,,,
restore_la_plata_viceroyalty_desc;We have defeated the secessionists in the Viceroyalty of the Río de la Plata. Let us restore the Viceroyalty.;;;;;;;;;;;;x,,,,,,,
restore_peru_viceroyalty_title;Restore the Viceroyalty of Peru;;;;;;;;;;;;x,,,,,,,
restore_peru_viceroyalty_desc;We have defeated the secessionists in the Viceroyalty of Peru. Let us restore the Viceroyalty.;;;;;;;;;;;;x,,,,,,,
restore_new_granada_viceroyalty_title;Restore the Viceroyalty of New Granada;;;;;;;;;;;;x,,,,,,,
restore_chile_captaincy_general_title;Restore the Captaincy General of Chile;;;;;;;;;;;;x,,,,,,,
restore_chile_captaincy_general_desc;We have defeated the secessionists in the Captaincy General of Chile. Let us restore the Captaincy General.;;;;;;;;;;;;x,,,,,,,
restore_new_granada_viceroyalty_desc;We have defeated the secessionists in the Viceroyalty of New Granada. Let us restore the Viceroyalty.;;;;;;;;;;;;x,,,,,,,
organise_new_zealand_title;Organise the New Zealand Colony;;;;;;;;;;;;x,,,,,,,
organise_new_zealand_desc;We now control the islands known together as 'New Zealand' . Let us organise this new colony.;;;;;;;;;;;;x,,,,,,,
EVTNAME99900;The Singapore Free Port;;;;;;;;;;;;;;;;;;;;;;;;;;;x,,,,,,,
EVTDESC99900;The Free Port of Singapore. Due to it's strategic position in the Straits of Johore, Singapore has the potential to become one of the most important ports in the world. In 1831, the Swedish government ended the Swedish East India Company's monopoly on the China trade, allowing other Swedish companies to enter the market and leading to a surge in shipping, as a result Singapore became an important coaling station for steam shipping networks that were beginning to form in the 1840s.;;;;;;;;;;;;;;;;;;;;;;;;;;;x,,,
form_iberia_title;Form Iberia;;;;;;;;;;;;x,,,,,,,
form_iberia_desc;The kingdoms of Spain and Portugal are again ruled by one king. We will serve all Iberians in a new kingdom.;;;;;;;;;;;;x,,,,,,,
form_colombian_union_CLM_title;Form Colombia;;;;;;;;;;;;x,,,,,,,
form_colombian_union_CLM_desc;From the disunity of South America arose the Colombian dream: that the Spanish-speaking peoples in South America should unite under one country. Although several emerging nations vie to divide the continent, this dream has never gone away. Let us unite these peoples under one country in the new world discovered by Christopher Columbus.;;;;;;;;;;;;x,,,,,,
form_colombian_union_PEU_title;Form Colombia;;;;;;;;;;;;x,,,,,,,
form_colombian_union_PEU_desc;From the disunity of South America arose the Colombian dream: that the Spanish-speaking peoples in South America should unite under one country. Although several emerging nations vie to divide the continent, this dream has never gone away. Let us unite these peoples under one country in the new world discovered by Christopher Columbus.;;;;;;;;;;;;x,,,,,,
PROV2223;Sainte-Croix;;;;;;;;;;;;x,,,,,,,
PROV45;Saint-Martin;;;;;;;;;;;;x,,,,,,,
PROV3246;Saint-Barthélemy;;;;;;;;;;;;x,,,,,,,
PROV2227;Saint-Christophe;;;;;;;;;;;;x,,,,,,,
accepting_afro_anglics_title;Accepting the Afro Anglics;;;;;;;;;;;;x,,,,,,,
accepting_afro_anglics_desc;The Afro Anglics are no longer slaves in this country, but they are not treated as equal citizens. It is time for us to end this injustice.;;;;;;;;;;;;x,,,,,,
colombia_annex_chile_title;Incorporate Chile;;;;;;;;;;;;x,,,,,,,
colombia_annex_chile_desc;The Chileans are a Spanish-speaking people currently outside Colombia. We could integrate them into our country if we gained sufficient influence over them.;;;;;;;;;;;;x,,,,,,,
accepting_north_andeans_MEX_title;Accepting the New-Granadans;;;;;;;;;;;;x,,,,,,,
accepting_north_andeans_MEX_desc;Ruling New Granada will be easier if we accept the local culture. Given our shared Spanish heritage, accepting the culture will not be a large hurdle.;x,,,,,,
accepting_caribenos_MEX_title;Accepting the Caribenos;x,,,,,,,
accepting_caribenos_MEX_desc;Ruling the Caribeno people will be easier if we accept their culture.;x,,,,,,,
USA_139;France Occidentale;;;;;;;;;;;;x,,,,,,,
USA_spanish_caribbean_title;Claim the Spanish Caribbean;;;;;;;;;;;;x,,,,,,,
USA_spanish_caribbean_desc;The islands of Cuba and Puerto Rico were colonised by Spain during the Age of Colonisation, and export cash crops such as coffee and tobacco. Holding these islands would strengthen our position in the Caribbean Sea and provide more land for our people.;;;;;;;;;;;;x,,,,,,
USA_manifest_destiny_title;Destiny of the West;x,,,,,,,
USA_manifest_destiny_desc;We should spread our greatness across the west of North America. Let the Eagle spread its wings.;x,,,,,,,
louisiana_manifest_destiny_title;Destiny of North America;x,,,,,,,
louisiana_manifest_destiny_desc;We should spread our greatness across the middle of North America.;x,,,,,,,
MEX_manifest_destiny_title;Destiny of the Gulf of Mexico;x,,,,,,,
MEX_manifest_destiny_desc;The land around the Gulf of Mexico is a natural extension of our fatherland. Let us make the Gulf a truly Mexican sea.;x,,,,,,,
florida_reclaim_upper_west_florida_title;Reclaim Upper West Florida;x,,,,,,,
florida_reclaim_upper_west_florida_desc;All of historical Florida should be part of our country.;x,,,,,,,
NSV;New Sweden;x,,,,,,,
NSV_ADJ;New-Swedish;x,,,,,,,
swedish_canadian;Swedish-Kanadensisk;,,,,,,,
CCC;Crown Colonies of Canada;x,,,,,,,
CCC_ADJ;Canadian;x,,,,,,,
become_canada_title;Form the Dominion of Canada;x,,,,,,,
become_canada_desc;There is a growing movement aiming to unite these British colonies in a federation, and weld together the British, French, and Swedish inhabitants of this land. This Canadian federation would be an important part of the Empire, and could one day be a major power in its own right.;x,,,
early_canada;The Crown Colonies of Canada;x,,,,,,,
early_canada_desc;Britain's Canadian colonies are a mix of British, French, and Swedish regions.;x,,,,,
USA_243;New England;x,,,,,,,
CCC_68;New Finland;x,,,,,,,
USA_176;Cherronesus;x,,,,,,,
USA_185;Pelisipia;x,,,,,,,
USA_188;Jefferson;x,,,,,,,
USA_170;Saratoga;x,,,,,,,
USA_162;Michigania;x,,,,,,,
NAF;New Africa;x,,,,,,,
NAF_ADJ;New-African;x,,,,,,,
NAF_absolute_monarchy;New-African Empire;x,,,,,,,
NAF_prussian_constitutionalism;New-African Empire;x,,,,,,,
NAF_hms_government;New Africa;x,,,,,,,
NAF_proletarian_dictatorship;People's Republic of New Africa;x,,,,,,,
NAF_fascist_dictatorship;Order-State of New Africa;x,,,,,,,
NAF_reactionary;Blood and Soil Party;x,,,,,,,
NAF_conservative;Freedmen's Party;x,,,,,,,
NAF_liberal;Republican Party;x,,,,,,,
NAF_anarcho_liberal;Revolutionary Party;x,,,,,,,
NAF_socialist;Labor Party;x,,,,,,,
NAF_communist;Communist Party;x,,,,,,,
NAF_fascist;Black Union of Fascists;x,,,,,,,
